Date,MSFT,MSFT,MSFT,MSFT,MSFT
2010-01-04,23.211442947387695,23.323937535491698,22.94145479158106,22.963954281380378,38409100
2010-01-05,23.218936920166016,23.323933088765603,22.978948129845854,23.136441667522224,49749600
2010-01-06,23.076444625854492,23.30893358924217,22.888953203344357,23.158939879055648,58182400
2010-01-07,22.836458206176758,23.023949648163608,22.641466934856894,22.971450842832496,50559700
2010-01-08,22.993947982788086,23.15893991992762,22.678962335197316,22.708961649465977,51197400
2010-01-11,22.701459884643555,23.06894287041505,22.588965326623043,23.031443730777603,68754700
2010-01-12,22.551467895507812,22.798956514081294,22.43147350046891,22.61146509302726,65912100
2010-01-13,22.76146125793457,22.888955495225353,22.506472783352997,22.69396422463673,51863500
2010-01-14,23.218936920166016,23.323933088765603,22.693961798952166,22.731459511022432,63228100
2010-01-15,23.14394187927246,23.428928214885314,23.031445880306762,23.308933817738215,79913200
2010-01-19,23.323936462402344,23.42893121574263,23.00895077193525,23.061448148605393,46575700
2010-01-20,22.941457748413086,23.203946108117684,22.73146677456011,23.106449736867685,54849500
2010-01-21,22.506471633911133,23.038946613348415,22.49897180498927,22.95645135610014,73086700
2010-01-22,21.719009399414062,22.648968272387553,21.62901430231745,22.4989745366315,102004600
2010-01-25,21.98900032043457,22.243988845060056,21.824008334684265,21.9290031046666,63373000
2010-01-26,22.123991012573242,22.386479327625224,21.816505150224025,21.899001845640825,66639900
2010-01-27,22.25148582458496,22.36398041092931,21.764008330128593,22.01149699226467,63949500
2010-01-28,21.868995666503906,22.401471959185756,21.66650462152155,22.37897247737245,117513700
2010-01-29,21.134033203125,22.438973321577983,20.744050704153942,22.423973664591554,193888500
2010-02-01,21.30653190612793,21.35902929223148,20.93904877295658,21.291532244256487,85931100
2010-02-02,21.34402847290039,21.374027795016445,21.104039617757596,21.27653285903209,54413700
2010-02-03,21.471513748168945,21.591509555985255,21.08903256432912,21.19402728691685,61397900
2010-02-04,20.879045486450195,21.374022740747613,20.85654600018356,21.28402622612714,77850000
2010-02-05,21.0140438079834,21.20903510386308,20.67655859772119,20.99904414742811,80960100
2010-02-08,20.78904914855957,21.05903726427011,20.676554577162204,21.00653989298108,52820600
2010-02-09,21.006534576416016,21.254023143031517,20.811543367802933,20.97653526873136,59195800
2010-02-10,20.991552352905273,21.179043890280752,20.879057716569367,21.021551685499865,48591300
2010-02-11,21.08904266357422,21.299032209310713,20.774056914522976,20.94654873579124,65993700
2010-02-12,20.946537017822266,21.04403190516671,20.684048802047027,20.856540526819497,81117200
2010-02-16,21.36095428466797,21.376024085663158,21.112308316788674,21.19518934799156,51935600
2010-02-17,21.54178237915039,21.586990334075114,21.368484020993133,21.496574424225663,45882900
2010-02-18,21.828107833862305,21.873317239365203,21.48151101448584,21.541788784687633,42856500
2010-02-19,21.677413940429688,21.790434578943785,21.617136170746477,21.69248374213434,44451800
2010-02-22,21.64727783203125,21.805507901205964,21.58700005261603,21.730160317653034,36707100
2010-02-23,21.34587860107422,21.722614899319183,21.16504535037283,21.60959429727268,52266200
2010-02-24,21.57192611694336,21.692483089819902,21.38355791270582,21.48904508433088,43165900
2010-02-25,21.5493221282959,21.586995193023718,21.112307966630823,21.300676164540516,48735300
2010-02-26,21.602060317993164,21.73768562107363,21.48150481239608,21.586990520509783,40370600
2010-03-01,21.86577606201172,21.888379321139638,21.496574645860797,21.677407904559107,43805400
2010-03-02,21.443836212158203,22.07675350905686,21.278072705688704,21.910990002587358,93123900
2010-03-03,21.443836212158203,21.556858287210765,21.360955177491146,21.481510716220853,48442100
2010-03-04,21.57192611694336,21.586995918194845,21.30067688009334,21.44383568057642,42890600
2010-03-05,21.54178237915039,21.609595030104963,21.413691975917857,21.59452523275173,56001800
2010-03-08,21.57192611694336,21.797968824309613,21.47397528307939,21.48904508433088,39414500
2010-03-09,21.700016021728516,21.9335936239986,21.511647822105402,21.519182722546564,50271600
2010-03-10,21.828107833862305,21.933595009566996,21.700017392541568,21.745226798044463,44891400
2010-03-11,21.98633575439453,21.993870654583613,21.737689796695932,21.76782796031699,35349700
2010-03-12,22.05414581298828,22.137026831004214,21.880847440522587,22.091818872346877,31700200
2010-03-15,22.06922149658203,22.12949926991056,21.858248571364438,21.9863390193295,37512000
2010-03-16,22.129497528076172,22.219913462384504,22.001407090193236,22.167170594515415,36723500
2010-03-17,22.32539939880371,22.506234143316604,22.152100992208844,22.227448562899987,50385700
2010-03-18,22.310333251953125,22.393214294529667,22.227450772241063,22.3254016178808,43845200
2010-03-19,22.295259475708008,22.52883563302046,22.11442618258205,22.423349904647466,81332100
2010-03-22,22.302793502807617,22.378141064610947,22.14456347930711,22.22744594100429,37718200
2010-03-23,22.51376724243164,22.528837043752944,22.159635534193193,22.295260871814193,42026600
2010-03-24,22.340473175048828,22.491168343241874,22.302800101568383,22.393216052775703,33987700
2010-03-25,22.61172103881836,23.033665444323226,22.453490988544377,22.47609569205079,73168700
2010-03-26,22.347997665405273,22.754873567684644,22.295254812250903,22.671991120079227,55595500
2010-03-29,22.295259475708008,22.46855786864514,22.265119874952717,22.385675403703353,33336000
2010-03-30,22.430883407592773,22.498696067932794,22.227445426572718,22.325396248655426,34954800
2010-03-31,22.06922149658203,22.393213630013207,21.9788041180215,22.332935856684678,63760000
2010-04-01,21.97126579284668,22.257586249390386,21.564391245567798,22.114426021118533,74768100
2010-04-05,22.05414581298828,22.174701327497903,21.87331254122385,21.948658659941042,34331200
2010-04-06,22.09181785583496,22.28772091718277,21.835637040005903,21.96372744792043,47366800
